,approach,alpha,kappa,lambda_0,k_0,num_failures,height_mae,lin_cmd_mae,ang_cmd_mae,projected_gravity_rp_norm_mean,z_vel_mae,ang_vel_rp_norm_mean,dof_tracking_mae
0,go1_rl2ac,2.0,0.1,0.3,5.0,0,0.044210347450807694,0.15904465049791572,0.20371257213130273,0.09595490502359054,0.0945770781347905,0.7858434497487861,0.2317261760465013
1,go1_rl2ac,5.0,0.1,0.3,5.0,1,0.03720137188461519,0.13744760413062967,0.18452209999531033,0.09046924690445016,0.08871234105805322,0.7355416403600455,0.20969957276486317
2,go1_rl2ac,10.0,0.0,0.3,5.0,1,0.03367353258447627,0.1362180666804428,0.18692836316401726,0.08807490349007742,0.08782514070836409,0.7410946403182215,0.2060252842669141
3,go1_rl2ac,10.0,0.05,0.3,5.0,2,0.033686940734840735,0.1357826994857109,0.18282290079524563,0.0904454051064291,0.08635773972050116,0.738018068739678,0.20461592917562943
4,go1_rl2ac,10.0,0.1,0.0,5.0,2,0.035188630360725295,0.13328468637119195,0.18386043117871972,0.0886229327793454,0.08784414240169099,0.7399583057815265,0.2075272749423422
5,go1_rl2ac,10.0,0.1,0.05,5.0,1,0.03643883745318457,0.13379324559357927,0.1834302246190575,0.09037113761766517,0.08802034056226196,0.741377480230065,0.2086467525777317
6,go1_rl2ac,10.0,0.1,0.1,5.0,2,0.03601040805753378,0.13009700925295234,0.1806522497581509,0.089489958119967,0.08757932195348586,0.7335993262019566,0.2028911322277214
7,go1_rl2ac,10.0,0.1,0.3,1.0,4,0.033473633222222035,0.1273007394774705,0.17806184340330203,0.08831348298178818,0.08770608064722969,0.726725556164791,0.1967950413618759
8,go1_rl2ac,10.0,0.1,0.3,2.0,3,0.03417367623751953,0.13157109828938088,0.18185383923431325,0.09142500142037371,0.0874437359137841,0.745554838673332,0.2002007457795341
9,go1_rl2ac,10.0,0.1,0.3,5.0,2,0.035359608639439134,0.13195996134429916,0.1799989242474237,0.0895027641991326,0.08875921272756758,0.7316908255395059,0.20443082432355456
10,go1_rl2ac,10.0,0.1,0.3,10.0,2,0.0370932090611077,0.13875678471982808,0.18760963065871758,0.09132156261931007,0.08976519755086983,0.7411386759152456,0.21109001245793851
11,go1_rl2ac,10.0,0.1,0.3,20.0,1,0.040317299132279216,0.14923447667747605,0.19591011952751797,0.09437973669848611,0.09311185106119187,0.7582986213332663,0.2193562744271019
12,go1_rl2ac,10.0,0.1,1.0,5.0,2,0.0362575242199188,0.13612724031176007,0.18510895607478353,0.09000226855029991,0.0889601967267906,0.734187787292894,0.20715318839019944
13,go1_rl2ac,10.0,0.1,3.0,5.0,1,0.037273063543551,0.13966804469442415,0.18848455865104272,0.09290878972349592,0.08923441984476177,0.7506857355755276,0.2143456948565903
14,go1_rl2ac,10.0,0.25,0.3,5.0,2,0.043768723398523335,0.14651284423127764,0.18887718419183075,0.09312439153791584,0.09424726892896124,0.7631999833057286,0.2189496425428644
15,go1_rl2ac,10.0,0.5,0.3,5.0,5,0.0448097707877261,0.15035358989991496,0.19575860992508812,0.09746639925732554,0.09814252093141893,0.7912209819747976,0.22308687331234636
16,go1_rl2ac,10.0,0.8,0.3,5.0,8,0.043896988123185605,0.1452897665350354,0.19680423007079936,0.09318468578878122,0.09933828069838646,0.7742463545651951,0.21740199713313965
17,go1_rl2ac,10.0,1.2,0.3,5.0,11,0.04651803817186795,0.15403148698589614,0.2029554440503597,0.10344218831070154,0.10675240506578579,0.7958199402841928,0.21784601594059266
18,go1_rl2ac,20.0,0.1,0.3,5.0,1,0.0369599856855352,0.13404193352918464,0.18099289749393102,0.08860660643659542,0.0874600920328751,0.7302801310027026,0.2086759213879766
19,go1_rl2ac,35.0,0.1,0.3,5.0,2,0.036242200490148,0.13731641375077552,0.18330771879814473,0.08877849801122933,0.08857463203553993,0.7380856666757754,0.20926836873648905
20,go1_rl2ac,50.0,0.0,3.0,20.0,2,0.03615436479765183,0.15051237748876609,0.20646499422074616,0.09405561646847396,0.09121022441038444,0.7423506201770632,0.22178724699409197
21,go1_rl2ac,50.0,0.1,0.3,5.0,1,0.034835400202830824,0.13228522438255477,0.18134056961495126,0.08817743757978128,0.08860088636754655,0.7316725028595635,0.207557590412766
22,go1_rl2ac,50.0,1.2,0.0,20.0,11,0.04486378867143649,0.14867940904320717,0.19492891948123484,0.09919913298945938,0.1037708224998641,0.7788021421804269,0.21275305567016692
23,go1_rl2ac,50.0,1.2,3.0,20.0,24,0.04469185263074077,0.15298760286068572,0.20550952567778058,0.10262176698029923,0.12060692215579265,0.7856424649749275,0.20865595595848424
24,go1_rl2ac,2.0,0.1,0.3,5.0,0,0.044210347450807694,0.15904465049791572,0.20371257213130273,0.09595490502359054,0.0945770781347905,0.7858434497487861,0.2317261760465013
